timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1690559699395,8961,Ipad,200,OK,Thread Group 1-33,text,true,,281197,246,50,50,https://www.apple.com/ipad/,30,0,14
1690559699395,30,Ipad-0,301,Moved Permanently,Thread Group 1-33,,true,,433,123,50,50,http://www.apple.com/ipad/,30,0,14
1690559699425,8931,Ipad-1,200,OK,Thread Group 1-33,text,true,,280764,123,50,50,https://www.apple.com/ipad/,965,0,807
1690559699702,8702,Ipad,200,OK,Thread Group 1-48,text,true,,281197,246,50,50,https://www.apple.com/ipad/,49,0,20
1690559699702,49,Ipad-0,301,Moved Permanently,Thread Group 1-48,,true,,433,123,50,50,http://www.apple.com/ipad/,49,0,20
1690559699752,8652,Ipad-1,200,OK,Thread Group 1-48,text,true,,280764,123,50,50,https://www.apple.com/ipad/,567,0,518
1690559699258,9164,Ipad,200,OK,Thread Group 1-26,text,true,,281201,246,50,50,https://www.apple.com/ipad/,39,0,25
1690559699258,39,Ipad-0,301,Moved Permanently,Thread Group 1-26,,true,,433,123,50,50,http://www.apple.com/ipad/,39,0,25
1690559699298,9124,Ipad-1,200,OK,Thread Group 1-26,text,true,,280768,123,50,50,https://www.apple.com/ipad/,1161,0,934
1690559699102,9602,Ipad,200,OK,Thread Group 1-16,text,true,,281197,246,50,50,https://www.apple.com/ipad/,51,0,33
1690559699102,51,Ipad-0,301,Moved Permanently,Thread Group 1-16,,true,,433,123,50,50,http://www.apple.com/ipad/,51,0,33
1690559699154,9550,Ipad-1,200,OK,Thread Group 1-16,text,true,,280764,123,50,50,https://www.apple.com/ipad/,1212,0,1083
1690559699295,9918,Ipad,200,OK,Thread Group 1-28,text,true,,281197,246,50,50,https://www.apple.com/ipad/,30,0,16
1690559699295,30,Ipad-0,301,Moved Permanently,Thread Group 1-28,,true,,433,123,50,50,http://www.apple.com/ipad/,30,0,16
1690559699326,9887,Ipad-1,200,OK,Thread Group 1-28,text,true,,280764,123,50,50,https://www.apple.com/ipad/,1604,0,1292
1690559699477,11018,Ipad,200,OK,Thread Group 1-37,text,true,,281201,246,50,50,https://www.apple.com/ipad/,39,0,22
1690559699477,39,Ipad-0,301,Moved Permanently,Thread Group 1-37,,true,,433,123,50,50,http://www.apple.com/ipad/,39,0,22
1690559699516,10979,Ipad-1,200,OK,Thread Group 1-37,text,true,,280768,123,50,50,https://www.apple.com/ipad/,1797,0,735
1690559699158,11350,Ipad,200,OK,Thread Group 1-21,text,true,,281197,246,50,50,https://www.apple.com/ipad/,37,0,22
1690559699158,37,Ipad-0,301,Moved Permanently,Thread Group 1-21,,true,,433,123,50,50,http://www.apple.com/ipad/,37,0,22
1690559699197,11311,Ipad-1,200,OK,Thread Group 1-21,text,true,,280764,123,50,50,https://www.apple.com/ipad/,1193,0,1079
1690559699515,11166,Ipad,200,OK,Thread Group 1-39,text,true,,281201,246,50,50,https://www.apple.com/ipad/,35,0,17
1690559699515,35,Ipad-0,301,Moved Permanently,Thread Group 1-39,,true,,433,123,50,50,http://www.apple.com/ipad/,35,0,17
1690559699551,11130,Ipad-1,200,OK,Thread Group 1-39,text,true,,280768,123,50,50,https://www.apple.com/ipad/,831,0,717
1690559699037,11791,Ipad,200,OK,Thread Group 1-15,text,true,,281197,246,50,50,https://www.apple.com/ipad/,66,0,38
1690559699037,74,Ipad-0,301,Moved Permanently,Thread Group 1-15,,true,,433,123,50,50,http://www.apple.com/ipad/,66,0,38
1690559699116,11712,Ipad-1,200,OK,Thread Group 1-15,text,true,,280764,123,50,50,https://www.apple.com/ipad/,1213,0,1131
1690559699456,11612,Ipad,200,OK,Thread Group 1-36,text,true,,281197,246,50,50,https://www.apple.com/ipad/,29,0,15
1690559699456,29,Ipad-0,301,Moved Permanently,Thread Group 1-36,,true,,433,123,50,50,http://www.apple.com/ipad/,29,0,15
1690559699486,11582,Ipad-1,200,OK,Thread Group 1-36,text,true,,280764,123,50,50,https://www.apple.com/ipad/,805,0,776
1690559699436,12016,Ipad,200,OK,Thread Group 1-35,text,true,,281197,246,50,50,https://www.apple.com/ipad/,48,0,23
1690559699436,48,Ipad-0,301,Moved Permanently,Thread Group 1-35,,true,,433,123,50,50,http://www.apple.com/ipad/,48,0,23
1690559699485,11967,Ipad-1,200,OK,Thread Group 1-35,text,true,,280764,123,50,50,https://www.apple.com/ipad/,834,0,762
1690559698992,12648,Ipad,200,OK,Thread Group 1-10,text,true,,281201,246,50,50,https://www.apple.com/ipad/,115,0,84
1690559698992,119,Ipad-0,301,Moved Permanently,Thread Group 1-10,,true,,433,123,50,50,http://www.apple.com/ipad/,115,0,84
1690559699117,12523,Ipad-1,200,OK,Thread Group 1-10,text,true,,280768,123,50,50,https://www.apple.com/ipad/,1975,0,1129
1690559699657,12115,Ipad,200,OK,Thread Group 1-45,text,true,,281201,246,50,50,https://www.apple.com/ipad/,38,0,13
1690559699657,38,Ipad-0,301,Moved Permanently,Thread Group 1-45,,true,,433,123,50,50,http://www.apple.com/ipad/,38,0,13
1690559699696,12076,Ipad-1,200,OK,Thread Group 1-45,text,true,,280768,123,50,50,https://www.apple.com/ipad/,1563,0,922
1690559698991,12825,Ipad,200,OK,Thread Group 1-1,text,true,,281201,246,50,50,https://www.apple.com/ipad/,111,0,84
1690559698991,119,Ipad-0,301,Moved Permanently,Thread Group 1-1,,true,,433,123,50,50,http://www.apple.com/ipad/,111,0,84
1690559699119,12697,Ipad-1,200,OK,Thread Group 1-1,text,true,,280768,123,50,50,https://www.apple.com/ipad/,1717,0,1218
1690559699597,12385,Ipad,200,OK,Thread Group 1-43,text,true,,281201,246,50,50,https://www.apple.com/ipad/,55,0,20
1690559699597,55,Ipad-0,301,Moved Permanently,Thread Group 1-43,,true,,433,123,50,50,http://www.apple.com/ipad/,55,0,20
1690559699653,12329,Ipad-1,200,OK,Thread Group 1-43,text,true,,280768,123,50,50,https://www.apple.com/ipad/,991,0,623
1690559698989,13070,Ipad,200,OK,Thread Group 1-6,text,true,,281197,246,50,50,https://www.apple.com/ipad/,113,0,85
1690559698989,121,Ipad-0,301,Moved Permanently,Thread Group 1-6,,true,,433,123,50,50,http://www.apple.com/ipad/,113,0,85
1690559699115,12944,Ipad-1,200,OK,Thread Group 1-6,text,true,,280764,123,50,50,https://www.apple.com/ipad/,1428,0,1148
1690559699238,13486,Ipad,200,OK,Thread Group 1-25,text,true,,281201,246,50,50,https://www.apple.com/ipad/,28,0,15
1690559699238,28,Ipad-0,301,Moved Permanently,Thread Group 1-25,,true,,433,123,50,50,http://www.apple.com/ipad/,28,0,15
1690559699267,13457,Ipad-1,200,OK,Thread Group 1-25,text,true,,280768,123,50,50,https://www.apple.com/ipad/,2102,0,1365
1690559698990,14064,Ipad,200,OK,Thread Group 1-9,text,true,,281197,246,50,50,https://www.apple.com/ipad/,113,0,85
1690559698990,121,Ipad-0,301,Moved Permanently,Thread Group 1-9,,true,,433,123,50,50,http://www.apple.com/ipad/,113,0,85
1690559699120,13934,Ipad-1,200,OK,Thread Group 1-9,text,true,,280764,123,50,50,https://www.apple.com/ipad/,1271,0,1150
1690559699216,13880,Ipad,200,OK,Thread Group 1-24,text,true,,281201,246,50,50,https://www.apple.com/ipad/,38,0,16
1690559699216,38,Ipad-0,301,Moved Permanently,Thread Group 1-24,,true,,433,123,50,50,http://www.apple.com/ipad/,38,0,16
1690559699255,13841,Ipad-1,200,OK,Thread Group 1-24,text,true,,280768,123,50,50,https://www.apple.com/ipad/,1135,0,1016
1690559698992,14751,Ipad,200,OK,Thread Group 1-11,text,true,,281201,246,50,50,https://www.apple.com/ipad/,111,0,83
1690559698992,119,Ipad-0,301,Moved Permanently,Thread Group 1-11,,true,,433,123,50,50,http://www.apple.com/ipad/,111,0,83
1690559699116,14627,Ipad-1,200,OK,Thread Group 1-11,text,true,,280768,123,50,50,https://www.apple.com/ipad/,2292,0,1111
1690559698996,15099,Ipad,200,OK,Thread Group 1-13,text,true,,281201,246,50,50,https://www.apple.com/ipad/,111,0,79
1690559698996,115,Ipad-0,301,Moved Permanently,Thread Group 1-13,,true,,433,123,50,50,http://www.apple.com/ipad/,111,0,79
1690559699116,14979,Ipad-1,200,OK,Thread Group 1-13,text,true,,280768,123,50,50,https://www.apple.com/ipad/,3915,0,3482
1690559699102,15128,Ipad,200,OK,Thread Group 1-17,text,true,,281201,246,50,50,https://www.apple.com/ipad/,51,0,33
1690559699102,51,Ipad-0,301,Moved Permanently,Thread Group 1-17,,true,,433,123,50,50,http://www.apple.com/ipad/,51,0,33
1690559699154,15076,Ipad-1,200,OK,Thread Group 1-17,text,true,,280768,123,50,50,https://www.apple.com/ipad/,2768,0,2339
1690559698990,15272,Ipad,200,OK,Thread Group 1-8,text,true,,281201,246,50,50,https://www.apple.com/ipad/,117,0,86
1690559698990,121,Ipad-0,301,Moved Permanently,Thread Group 1-8,,true,,433,123,50,50,http://www.apple.com/ipad/,117,0,86
1690559699118,15144,Ipad-1,200,OK,Thread Group 1-8,text,true,,280768,123,50,50,https://www.apple.com/ipad/,4927,0,4660
1690559699556,14817,Ipad,200,OK,Thread Group 1-41,text,true,,281201,246,50,50,https://www.apple.com/ipad/,45,0,29
1690559699556,45,Ipad-0,301,Moved Permanently,Thread Group 1-41,,true,,433,123,50,50,http://www.apple.com/ipad/,45,0,29
1690559699601,14772,Ipad-1,200,OK,Thread Group 1-41,text,true,,280768,123,50,50,https://www.apple.com/ipad/,890,0,667
1690559699335,16206,Ipad,200,OK,Thread Group 1-30,text,true,,281201,246,50,50,https://www.apple.com/ipad/,47,0,21
1690559699335,47,Ipad-0,301,Moved Permanently,Thread Group 1-30,,true,,433,123,50,50,http://www.apple.com/ipad/,47,0,21
1690559699383,16158,Ipad-1,200,OK,Thread Group 1-30,text,true,,280768,123,50,50,https://www.apple.com/ipad/,3287,0,2874
1690559699138,16862,Ipad,200,OK,Thread Group 1-20,text,true,,281197,246,50,50,https://www.apple.com/ipad/,30,0,15
1690559699138,30,Ipad-0,301,Moved Permanently,Thread Group 1-20,,true,,433,123,50,50,http://www.apple.com/ipad/,30,0,15
1690559699169,16831,Ipad-1,200,OK,Thread Group 1-20,text,true,,280764,123,50,50,https://www.apple.com/ipad/,1145,0,1064
1690559699101,17105,Ipad,200,OK,Thread Group 1-18,text,true,,281201,246,50,50,https://www.apple.com/ipad/,52,0,34
1690559699101,52,Ipad-0,301,Moved Permanently,Thread Group 1-18,,true,,433,123,50,50,http://www.apple.com/ipad/,52,0,34
1690559699154,17052,Ipad-1,200,OK,Thread Group 1-18,text,true,,280768,123,50,50,https://www.apple.com/ipad/,3387,0,1475
1690559698989,17353,Ipad,200,OK,Thread Group 1-2,text,true,,281197,246,50,50,https://www.apple.com/ipad/,113,0,86
1690559698989,121,Ipad-0,301,Moved Permanently,Thread Group 1-2,,true,,433,123,50,50,http://www.apple.com/ipad/,113,0,86
1690559699115,17227,Ipad-1,200,OK,Thread Group 1-2,text,true,,280764,123,50,50,https://www.apple.com/ipad/,1275,0,1120
1690559699375,17045,Ipad,200,OK,Thread Group 1-32,text,true,,281197,246,50,50,https://www.apple.com/ipad/,35,0,20
1690559699375,35,Ipad-0,301,Moved Permanently,Thread Group 1-32,,true,,433,123,50,50,http://www.apple.com/ipad/,35,0,20
1690559699411,17009,Ipad-1,200,OK,Thread Group 1-32,text,true,,280764,123,50,50,https://www.apple.com/ipad/,971,0,857
1690559699660,17177,Ipad,200,OK,Thread Group 1-46,text,true,,281197,246,50,50,https://www.apple.com/ipad/,56,0,34
1690559699660,56,Ipad-0,301,Moved Permanently,Thread Group 1-46,,true,,433,123,50,50,http://www.apple.com/ipad/,56,0,34
1690559699717,17120,Ipad-1,200,OK,Thread Group 1-46,text,true,,280764,123,50,50,https://www.apple.com/ipad/,641,0,537
1690559699315,17655,Ipad,200,OK,Thread Group 1-29,text,true,,281201,246,50,50,https://www.apple.com/ipad/,41,0,18
1690559699315,41,Ipad-0,301,Moved Permanently,Thread Group 1-29,,true,,433,123,50,50,http://www.apple.com/ipad/,41,0,18
1690559699356,17614,Ipad-1,200,OK,Thread Group 1-29,text,true,,280768,123,50,50,https://www.apple.com/ipad/,2168,0,1945
1690559698991,18549,Ipad,200,OK,Thread Group 1-5,text,true,,281197,246,50,50,https://www.apple.com/ipad/,111,0,83
1690559698991,119,Ipad-0,301,Moved Permanently,Thread Group 1-5,,true,,433,123,50,50,http://www.apple.com/ipad/,111,0,83
1690559699116,18424,Ipad-1,200,OK,Thread Group 1-5,text,true,,280764,123,50,50,https://www.apple.com/ipad/,1242,0,1159
1690559698992,18764,Ipad,200,OK,Thread Group 1-12,text,true,,281201,246,50,50,https://www.apple.com/ipad/,111,0,84
1690559698992,119,Ipad-0,301,Moved Permanently,Thread Group 1-12,,true,,433,123,50,50,http://www.apple.com/ipad/,111,0,84
1690559699118,18638,Ipad-1,200,OK,Thread Group 1-12,text,true,,280768,123,50,50,https://www.apple.com/ipad/,2322,0,1221
1690559699738,18092,Ipad,200,OK,Thread Group 1-50,text,true,,281201,246,50,50,https://www.apple.com/ipad/,60,0,28
1690559699738,60,Ipad-0,301,Moved Permanently,Thread Group 1-50,,true,,433,123,50,50,http://www.apple.com/ipad/,60,0,28
1690559699799,18031,Ipad-1,200,OK,Thread Group 1-50,text,true,,280768,123,50,50,https://www.apple.com/ipad/,1716,0,1502
1690559699017,19018,Ipad,200,OK,Thread Group 1-14,text,true,,281197,246,50,50,https://www.apple.com/ipad/,310,0,296
1690559699017,310,Ipad-0,301,Moved Permanently,Thread Group 1-14,,true,,433,123,50,50,http://www.apple.com/ipad/,310,0,296
1690559699328,18707,Ipad-1,200,OK,Thread Group 1-14,text,true,,280764,123,50,50,https://www.apple.com/ipad/,1288,0,941
1690559699278,18803,Ipad,200,OK,Thread Group 1-27,text,true,,281317,246,50,50,https://www.apple.com/ipad/,33,0,15
1690559699278,33,Ipad-0,301,Moved Permanently,Thread Group 1-27,,true,,433,123,50,50,http://www.apple.com/ipad/,33,0,15
1690559699312,18769,Ipad-1,200,OK,Thread Group 1-27,text,true,,280884,123,50,50,https://www.apple.com/ipad/,991,0,919
1690559698991,19254,Ipad,200,OK,Thread Group 1-3,text,true,,281201,246,50,50,https://www.apple.com/ipad/,111,0,84
1690559698991,119,Ipad-0,301,Moved Permanently,Thread Group 1-3,,true,,433,123,50,50,http://www.apple.com/ipad/,111,0,84
1690559699116,19129,Ipad-1,200,OK,Thread Group 1-3,text,true,,280768,123,50,50,https://www.apple.com/ipad/,1479,0,1143
1690559699579,18758,Ipad,200,OK,Thread Group 1-42,text,true,,281197,246,50,50,https://www.apple.com/ipad/,50,0,21
1690559699579,50,Ipad-0,301,Moved Permanently,Thread Group 1-42,,true,,433,123,50,50,http://www.apple.com/ipad/,50,0,21
1690559699630,18707,Ipad-1,200,OK,Thread Group 1-42,text,true,,280764,123,50,50,https://www.apple.com/ipad/,680,0,635
1690559699654,18876,Ipad,200,OK,Thread Group 1-44,text,true,,281201,246,50,50,https://www.apple.com/ipad/,40,0,12
1690559699654,40,Ipad-0,301,Moved Permanently,Thread Group 1-44,,true,,433,123,50,50,http://www.apple.com/ipad/,40,0,12
1690559699696,18834,Ipad-1,200,OK,Thread Group 1-44,text,true,,280768,123,50,50,https://www.apple.com/ipad/,3357,0,2517
1690559699536,19060,Ipad,200,OK,Thread Group 1-40,text,true,,281197,246,50,50,https://www.apple.com/ipad/,29,0,14
1690559699536,29,Ipad-0,301,Moved Permanently,Thread Group 1-40,,true,,433,123,50,50,http://www.apple.com/ipad/,29,0,14
1690559699566,19030,Ipad-1,200,OK,Thread Group 1-40,text,true,,280764,123,50,50,https://www.apple.com/ipad/,738,0,661
1690559711773,6920,Iphone,200,OK,Thread Group 1-45,text,true,,236749,250,50,50,https://www.apple.com/iphone/,228,0,0
1690559711773,228,Iphone-0,301,Moved Permanently,Thread Group 1-45,,true,,435,125,50,50,http://www.apple.com/iphone/,228,0,0
1690559712001,6692,Iphone-1,200,OK,Thread Group 1-45,text,true,,236314,125,50,50,https://www.apple.com/iphone/,189,0,0
1690559698990,20322,Ipad,200,OK,Thread Group 1-7,text,true,,281197,246,50,50,https://www.apple.com/ipad/,113,0,86
1690559698990,121,Ipad-0,301,Moved Permanently,Thread Group 1-7,,true,,433,123,50,50,http://www.apple.com/ipad/,113,0,86
1690559699120,20192,Ipad-1,200,OK,Thread Group 1-7,text,true,,280764,123,50,50,https://www.apple.com/ipad/,2288,0,1148
1690559712060,7565,Iphone,200,OK,Thread Group 1-6,text,true,,236749,250,50,50,https://www.apple.com/iphone/,231,0,0
1690559712060,231,Iphone-0,301,Moved Permanently,Thread Group 1-6,,true,,435,125,50,50,http://www.apple.com/iphone/,231,0,0
1690559712292,7333,Iphone-1,200,OK,Thread Group 1-6,text,true,,236314,125,50,50,https://www.apple.com/iphone/,230,0,0
1690559699355,20589,Ipad,200,OK,Thread Group 1-31,text,true,,281201,246,50,50,https://www.apple.com/ipad/,41,0,27
1690559699355,41,Ipad-0,301,Moved Permanently,Thread Group 1-31,,true,,433,123,50,50,http://www.apple.com/ipad/,41,0,27
1690559699397,20547,Ipad-1,200,OK,Thread Group 1-31,text,true,,280768,123,50,50,https://www.apple.com/ipad/,932,0,849
1690559699197,20769,Ipad,200,OK,Thread Group 1-23,text,true,,281201,246,50,50,https://www.apple.com/ipad/,31,0,15
1690559699197,31,Ipad-0,301,Moved Permanently,Thread Group 1-23,,true,,433,123,50,50,http://www.apple.com/ipad/,31,0,15
1690559699229,20737,Ipad-1,200,OK,Thread Group 1-23,text,true,,280768,123,50,50,https://www.apple.com/ipad/,1059,0,1009
1690559699177,20904,Ipad,200,OK,Thread Group 1-22,text,true,,281201,246,50,50,https://www.apple.com/ipad/,33,0,18
1690559699177,33,Ipad-0,301,Moved Permanently,Thread Group 1-22,,true,,433,123,50,50,http://www.apple.com/ipad/,33,0,18
1690559699211,20870,Ipad-1,200,OK,Thread Group 1-22,text,true,,280768,123,50,50,https://www.apple.com/ipad/,2833,0,2024
1690559713744,6373,Iphone,200,OK,Thread Group 1-11,text,true,,236749,250,50,50,https://www.apple.com/iphone/,220,0,0
1690559713744,220,Iphone-0,301,Moved Permanently,Thread Group 1-11,,true,,435,125,50,50,http://www.apple.com/iphone/,220,0,0
1690559713963,6154,Iphone-1,200,OK,Thread Group 1-11,text,true,,236314,125,50,50,https://www.apple.com/iphone/,227,0,0
1690559708706,11482,Iphone,200,OK,Thread Group 1-16,text,true,,236749,250,50,50,https://www.apple.com/iphone/,243,0,0
1690559708706,243,Iphone-0,301,Moved Permanently,Thread Group 1-16,,true,,435,125,50,50,http://www.apple.com/iphone/,243,0,0
1690559708949,11239,Iphone-1,200,OK,Thread Group 1-16,text,true,,236314,125,50,50,https://www.apple.com/iphone/,740,0,0
1690559699120,22055,Ipad,200,OK,Thread Group 1-19,text,true,,281201,246,50,50,https://www.apple.com/ipad/,44,0,25
1690559699120,44,Ipad-0,301,Moved Permanently,Thread Group 1-19,,true,,433,123,50,50,http://www.apple.com/ipad/,44,0,25
1690559699165,22010,Ipad-1,200,OK,Thread Group 1-19,text,true,,280768,123,50,50,https://www.apple.com/ipad/,2720,0,2245
1690559711453,10257,Iphone,200,OK,Thread Group 1-35,text,true,,236749,250,50,50,https://www.apple.com/iphone/,242,0,0
1690559711453,242,Iphone-0,301,Moved Permanently,Thread Group 1-35,,true,,435,125,50,50,http://www.apple.com/iphone/,242,0,0
1690559711696,10014,Iphone-1,200,OK,Thread Group 1-35,text,true,,236314,125,50,50,https://www.apple.com/iphone/,225,0,0
